GEOID_place,place_name,GEOID_county,county_name,total_pop.place,total_moe.place,age_pop.place,age_moe.place,white_perc.place,white_moe.place,aa_perc.place,aa_moe.place,hisp_perc.place,hisp_moe.place,total_pop.county,total_moe.county,age_pop.county,age_moe.county,white_perc.county,white_moe.county,aa_perc.county,aa_moe.county,hisp_perc.county,hisp_moe.county,total_pop_log.place,pop_density.place,pop_density_log.place,total_pop_log.county,pop_density.county,pop_density_log.county
3700500,"Ahoskie town, North Carolina",37091,Hertford,4895,35,34.9,4.9,27.3,3.8,65.6,3.6,4.6,2.3,24262,NA,42.4,0.6,33.6,0.1,58,1.8,3.7,NA,8.49596955496461,434.29108623556624,0.7537740238304149,10.096666619330865,25.992397114643474,0.010816773897609952
3700680,"Albemarle city, North Carolina",37167,Stanly,15874,36,42.5,1.8,65.9,3.2,23.5,2.6,5.8,2,60875,NA,42.4,0.4,81.2,0.1,11.1,0.4,4,NA,9.672437829650821,359.42083416168316,0.21900438913381118,11.01657786038489,58.05286172546776,0.010505854147298127
3701380,"Andrews town, North Carolina",37039,Cherokee,1971,407,31,7.3,81.8,8.2,1,1.4,8.4,7.2,27463,NA,50.8,0.4,91.5,0.2,1.4,0.3,3,NA,7.58629630715272,465.8757741866458,1.7931363091344827,10.220594923172552,22.721871731212406,0.008456142696027654
3702080,"Asheboro city, North Carolina",37151,Randolph,25863,42,38.8,1.7,61.2,3.3,12.2,1.9,23.5,3.2,142827,NA,41.5,0.3,79.7,0.1,6.3,0.3,11.1,NA,10.160568654878034,527.7570154010618,0.20733524293686012,11.869389386645329,69.8080178040621,0.005801273888174385
3702140,"Asheville city, North Carolina",37021,Buncombe,89318,43,38.6,0.7,77.9,1.4,12,1,5.9,1,252268,NA,41.9,0.3,83.7,0.1,6.3,0.3,6.4,NA,11.399958314301701,751.1900138015252,0.09587692115203102,12.43824729344999,147.61256392081438,0.007278139017502351
3703500,"Banner Elk town, North Carolina",37011,Avery,1451,409,21.6,1.9,83.5,8.5,3.2,2.6,9.9,6.9,17535,NA,44.5,0.6,89,0.1,4.2,0.6,5.1,NA,7.280008252884188,293.17526147739,1.4709292371446443,9.771954162574279,27.35368012752472,0.015243735864493327
3703960,"Bayboro town, North Carolina",37137,Pamlico,1378,267,38.5,4.1,38.5,7.5,53.1,7,6.3,3.5,12803,NA,51,0.5,74.3,0.2,18.6,1.2,3.6,NA,7.228388451573604,286.3938316132081,1.5022974347132283,9.45743479744618,8.801687191728641,0.006501709187166351
3705530,"Bethlehem CDP, North Carolina",37003,Alexander,4592,549,45.5,4.4,96.1,4,1.9,3.2,2,2.8,37159,NA,42.8,0.4,87,0.1,5.9,0.5,4.6,NA,8.432070937999402,199.60488612807245,0.3665249476052264,10.522961281909057,54.42116762024811,0.015411389967010783
3707080,"Boone town, North Carolina",37189,Watauga,18493,34,21.3,0.2,90.3,1.5,2.4,1,4.2,1.1,53421,NA,30.6,0.3,91.9,0.2,1.6,0.2,3.4,NA,9.825147561084876,1147.4709952091275,0.6096399637697828,10.885959206069424,65.83051456399272,0.013414730088507965
3707720,"Brevard city, North Carolina",37175,Transylvania,7759,22,48.4,7.2,81.3,4.2,10.3,2.9,0.7,0.8,33291,NA,50.6,0.5,89.4,0.9,4.1,0.4,3.2,NA,8.95660873889395,563.2803410707497,0.6502231763476534,10.413042369168673,33.784602508208735,0.0105674355634706
